authority_code,statutory_ref,act_treaty,entry_class
"000000","","NA","Public Land (no Action)"
"000001","","NA","Area Original 13 States"
"000002","","NA","Northwest Territory"
"000003","","NA","North Carolina-Tennessee"
"000004","","NA","Louisiana Purchase-1803"
"000005","","NA","Red River-1818"
"000006","Treaty","March 30, 1822","Florida-1822"
"000007","","NA","Texas-1845"
"000008","","NA","Oregon Compromise-1846"
"000009","","NA","Treaty With Mexico-1848"
"000010","","NA","Purchase From Texas-1850"
"000011","","NA","Gadsden Purchase-1853"
"000012","","NA","Alaska-1867"
"000013","","NA","Hawaii-1898"
"000300","","NA","Antiquities Preservation"
"000440","","NA","Appeals To Ibla"
"000445","","NA","Contest-Private"
"000447","","NA","Grazing Appeal Procedure"
"000449","","NA","Protest-Private"
"000450","","NA","Coal Mines Health-Safety"
"000900","","NA","Pwrks Permit-Lease-Esmt"
"001600","","NA","Helium Conservation"
"007500","","NA","Misc Non-Count"
"007501","","NA","Corp Qual Og"
"007502","","NA","Acquired Easement"
"007504","","NA","Ancsa Easement"
"007505","","NA","Nonstandard Section Area"
"007506","","NA","Misc No Land Description"
"007507","","NA","State School Site"
"007509","","NA","F Barr Class Petition"
"008522","","NA","Unappvd-Disclaimed Title"
"009999","","NA","To Be Defined"
"160000","","NA","Plan-Prog-Budgeting"
"160099","","NA","To Be Defined"
"160100","","NA","Planning System"
"160500","","NA","Unit Resource Analysis"
"161000","","NA","Resource Mgt Planning"
"179201","","NA","Environmental Impact St"
"179202","","NA","Environmental Assessment"
"180099","","NA","To Be Defined"
"181050","BLM Manual","January 1, 1999","Public Lands Litigation"
"181301","43 CFR 1813","NA","Title Resolution"
"186001","49 Stat. 885","August 27, 1935","Quit Claim Deed by GSA"
"186002","73 Stat. 141","June 25, 1959","Quitclaim Deed-AK Omnibus Act"
"186004","42 Stat. 1017","September 22, 1922","Quitclaim Deed"
"186005","59 Stat. 532","August 11, 1945","Quitclaim Deed by FS"
"186006","PL 89-670","NA","Quitclaim Deed Pvt Laws"
"186007","","NA","Quitclaim Deed By Dot"
"186008","Various Statutes","July 22, 1937","Quitclaim Deed-Public Laws"
"186009","85 Stat. 688","December 18, 1971","Quitclaim Deed to US"
"186010","46 Stat. 1506","March 3, 1931","Quitclaim Deed by DOD Agency"
"186011","62 Stat. 240","May 19, 1948","Quitclaim Deed for Wildlife"
"186012","50 Stat. 522","July 22, 1937","Quitclaim Deed-FS Spec"
"186013","Bankruptcy Act","NA","Quitclaim Deed to US -DOT"
"186050","","NA","Title Transfer To FS"
"186100","","NA","Quitclaim Deed to US -Agency"
"186101","","NA","Quitclaim Deed to US -Agency"
"186230","38 Stat. 335","April 14, 1914","Supplemental Non-Coal Patent"
"186231","38 Stat. 509","July 17, 1914","Supplemental Non-Mineral"
"186300","56 Stat. 174","March 27, 1942","Other Title Conveyance"
"186301","RS 2478  43 USC 1201","July 16, 1946","Quiet Title to US"
"186302","39 Stat. 218","June 9, 1916","OR & CA Revested Lands"
"186303","40 Stat. 1179","February 26, 1919","Coos Bay Wagon Road Recnv Ld"
"186304","","NA","Trf Juris To BLM-O&C"
"186305","","NA","Trf Juris To FS-Pd"
"186306","","NA","Trf Juris To GSA"
"186310","68 Stat. 703","August 13, 1954","Carey Act-Quitclaim Deed to"
"186311","36 Stat. 855","June 25, 1910","Escheatment of Indian Land"
"186400","90 Stat. 2743","October 21, 1976","Recordable Disclaimers"
"186401","","NA","Forest Lieu Disclaimer"
"186500","68 Stat. 708","August 13, 1954","Conveyance Doc Correction"
"187110","","NA","Equitable Adjudication"
"188100","","NA","Payment In Lieu Of Taxes"
"200099","","NA","To Be Defined"
"201010","58 Stat. 765","October 3, 1944","GSA Min Reservation-BLM Acct"
"206400","","NA","Adm Land Use-Compliance"
"207000","","NA","Designations Areas-Sites"
"207011","","NA","Desig Acq Lands To Pd"
"209400","30 Stat. 409","May 14, 1898","Special Res Val-Shore Sp"
"209500","","NA","Non-Nav Water Determintn"
"209600","54 Stat. 1178","October 17, 1940","Soldiers-Sailors Relief"
"210001","48 Stat. 1269","June 28, 1934","Acquired-Taylor Grazing Act"
"210002","","NA","AcqNatl Soil Cons Act"
"210003","39 Stat. 218","June 9, 1916","Acquired-O & C Act"
"210004","","NA","Acq-Halogeton Act"
"210005","","NA","Acq-Veg Material Pl167"
"210006","69 Stat. 374","July 26, 1955","Acquired-Timber Access Road"
"210007","74 Stat. 506","July 14, 1960","Acquired-Public Land Adm Act"
"210008","","NA","Acq-Federal-aid Hwy Act"
"210009","82 Stat. 912","October 2, 1968","AcquiredWild & Scenic Rivers"
"210010","82 Stat. 912","October 2, 1968","AcquiredWild & Scenic-MO"
"210011","82 Stat. 923","October 2, 1968","Acquired Natl Trails System"
"210012","84 Stat. 1068","October 21, 1970","Acquired-King Range Cons Area"
"210013","90 Stat. 2743","October 21, 1976","Acquired-FLPMA"
