doc_class_code,document_class_description,doc_class_display_name
"AGS","Agricultural Scrip Patent","Agricultural Scrip"
"CP","Coal Patent","Coal Patent"
"CT","Chippewas Treaty Patent","Chippewas Treaty"
"CV","Credit Volume Patent","Credit Volume"
"DC","Donation Claim","Donation Claim"
"FE","Forest Exchange Patent","Forest Exchange"
"FLS","Forest Lieu Selection Patent","Forest Lieu Selection"
"IA","Indian Allotment Patent","Indian Allotment"
"IF","Indian Fee Patent","Indian Fee"
"ML","Mineral Patent","Mineral"
"MP","Mineral Patent",""
"MV","Miscellaneous Volume Patent","Miscellaneous Volume"
"MW","Military Bounty Land Warrant","Military Warrant"
"PLC","Private Land Claim","Private Land Claim"
"SCS","Supreme Court Scrip Patent","Supreme Court Scrip"
"SER","Serial Land Patent","Serial Patent"
"SGS","Surveyor General Scrip Patent","Surveyor General Scrip"
"SS","Sioux Scrip Patent","Sioux Scrip"
"STA","State Land Patent","State Volume"
"TC","Timber Culture Patent","Timber Culture"
